support,support_slug,categorie,lectorat,canal,NEW_01_Supports_Variants 2
ABCDENT.PRO,abcdent-pro,Dentistes,"Dentistes, chirurgiens dentistes","Web,NL","abcdent-pro::web::728x90-320x50mobile,abcdent-pro::web::300x600-300x250mobile,abcdent-pro::nl"
ACEHF MAGAZINE,acehf-magazine,Restauration collective,"Magazine de l'Association Culinaire des Etablissements Hospitaliers de France. S'adresse au décideurs de la restauration collective en hôpital, maison de retraite, Ehpad",Print,acehf-magazine::print
ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,actes-pratiques-et-ingenierie-immobiliere,Collectivités locales,"Notaires, Avocats, Juristes d'entreprises ou de collectivités territoriales spécialisés dans le droit immobilier et la promotion immobilière",Print,actes-pratiques-et-ingenierie-immobiliere::print
ACTES PRATIQUES ET STRATEGIE PATRIMONIALE,actes-pratiques-et-strategie-patrimoniale,Professionnels de la finance,"Notaires, Etablissements bancaires et financiers, conseils en gestion, avocats, experts-comptables, assurances",Print,actes-pratiques-et-strategie-patrimoniale::print
ACTEURS PUBLICS,acteurs-publics,Collectivités locales,"Administration d'État (48%), Administration territoriale (24%), Administration hospitalière (12%), Élus (4%), Entreprises (4%)","Print,Web,NL","acteurs-publics::print,acteurs-publics::web::1000x90-300x600-300x250mobile,acteurs-publics::nl"
ACTION CO,action-co,Direction commerciale,"Directions commerciales, directions des ventes, directions générales, directions marketing","Print,Web,NL","action-co::print,action-co::web::1000x90-300x600,action-co::nl"
ACTU ENVIRONNEMENT,actu-environnement,Environnement,"Ingénieurs, techniciens, cadres, DG d'entreprises",Print,actu-environnement::print
ACTUALITES HABITAT,actualites-habitat,Immobilier,"Directeurs généraux, techniques et financiers des organismes d'habitat social",Print,actualites-habitat::print
ADMINISTRATION ET INTENDANCE,administration-et-intendance,Education,"Personnel administration générale et de l'intendance, responsables de la restauration scolaire et universitaire, responsables de la maintenance des locaux et des matériels",Print,administration-et-intendance::print
AGEFI,agefi,Professionnels de la finance,"Professionnels de la Finance en banque, assurance, finance","Web,NL","agefi::web::1000x90-300x600-300x250mobile,agefi::nl"
AGEFI ACTIFS,agefi-actifs,Professionnels de la finance,"CGPI, experts comptables, gérants privés, notaires, courtiers, avocats fiscalistes",Print,agefi-actifs::print
AGEFI ALPHA,agefi-alpha,Professionnels de la finance,"Professionnels de la Finance en banque, assurance, finance",Print,agefi-alpha::print
AGENCEUR MAGAZINE,agenceur-magazine,Bâtiment - Artisanat,"Décideurs et professionnels de la filière du bois : négoce distribution, architectes et décorateurs, agenceurs, menuisiers, industriels, meuble, cuisine, ingénieurs et techniciens du bâtiment",Print,agenceur-magazine::print
ALTERNATIVES ECONOMIQUES,alternatives-economiques,Dirigeants de TPE/PME,"Décideurs, cadres supérieurs, dirigeants d'entreprises",Print,alternatives-economiques::print
ANDRH,andrh,Ressources Humaines,DRH adhérents de l'Association Nationale des DRH,Print,andrh::print
ANNALES DE BIOLOGIE CLINIQUE,annales-de-biologie-clinique,Biologistes,Organe officiel de la Société Française de Biologie Clinique. Cible: biologistes de laboratoires d'analyses privés et hospitaliers,Print,annales-de-biologie-clinique::print
APP'INES,app-ines,Kinésithérapie - Sage-femme,Kinésithérapeutes,"Web,NL","app-ines::web::300x600,app-ines::nl"
ARCHITECTURE A VIVRE,architecture-a-vivre,Architecture - Urbanisme,"CSP+, cadres supérieurs ou professions libérales, modernes et urbains, Architectes, architectes d’intérieur et designers","Print,Web,NL","architecture-a-vivre::print,architectures-a-vivre::web::970x70,architectures-a-vivre::web::300x600,architectures-a-vivre::nl"
ARTISANS & BOIS,artisans-bois,Bâtiment - Artisanat,"Menuisiers, charpentiers, ébénistes, parqueteurs, poseurs de bardage, poseurs de terrasses, cuisinistes, couvreurs, agenceurs, décorateurs… Potentiel : + de 150 000 entreprises, + de 500 000 salariés",Print,artisans-bois::print
ARTS&METIERS MAG,arts-metiers-mag,Industrie : technologie,"Anciens élèves de l'Ecole nationale supérieure d'Arts et Métiers: Directeurs industriels, PDG-DG, R&S, RH",Print,arts-metiers-mag::print
AU COEUR DU CHR,au-coeur-du-chr,Hôtellerie-Restauration,"Patrons, gérants et responsables d'établissements, barmen, chefs de cuisine, acheteurs groupe, grossistes, restaurants, brasseries, cafés, bars, bars-tabac, bars à thème, bars d'ambiance","Print,Web,NL","au-coeur-du-chr::print,au-coeur-du-chr::nl,au-coeur-du-chr::web::1800x180-300x180mobile"
AUDIO INFOS,audio-infos,ORL,"Audioprothésistes, les enseignes, les écoles et les étudiants, les fabricants, les laboratoires scientifiques, les médecins ORL",Print,audio-infos::print
AUDIOLOGIE DEMAIN,audiologie-demain,ORL,"professionnels de la filière auditive (audioprothésistes, ORL, orthophonistes...)",Print,audiologie-demain::print
AUDIOLOGY FRANCE,audiology-france,ORL,"Médecins ORL, libéraux et hospitaliers",Print,audiology-france::print
AUTOCAR ET BUS INFOS,autocar-et-bus-infos,Industrie : Transport logistique,"Chefs d'entreprises de transport de voyageurs en autocar et en autobus, conducteurs d'autocars.",Print,autocar-et-bus-infos::print
BARDAGE INFO,bardage-info,Bâtiment - Artisanat,"Architectes, Economistes, entreprises certifiées Qualibar, Offices publics de l'habitat (HLM), maîtres d'œuvre, experts bâtiments, directeurs techniques, bureaux d'études, entreprises adhérentes à la CSFE, maîtres d'ouvrage, contrôleurs techniques, lycées/écoles",Print,bardage-info::print
BATIACTU,batiactu,Bâtiment - Artisanat,"Entreprises du bâtiment et travaux publics, architectes, bureaux d’études, maîtres d’ouvrages privés et publics, promoteurs, collectivités locales/territoriales, pouvoirs publics, fédérations","Print,Web,NL","batiactu::print,batiactu::web::728x90-300x600-300x250mobile,batiactu::nl"
BATIMENT ENTRETIEN,batiment-entretien,Bâtiment - Artisanat,"51% entreprises de nettoyage, 15% collectivités, 14% hôpitaux, cliniques et maisons de retraite, 14% industrie agro-alimentaire, 6% autres (hôtels, restauration, bureaux, fabricants et distributeurs)",Print,batiment-entretien::print
BATIMETIERS,batimetiers,Bâtiment - Artisanat,"Magazine de la Fédération française du Bâtiment, lectorat: 40% gros œuvre, structure, 20% équipements techniques, 20% enveloppe, 20% aménagement, finitions",Print,batimetiers::print
BATIRAMA,batirama,Bâtiment - Artisanat,"Entreprises du bâtiment, architectes, bureaux d'études, techniques, maitres d'ouvrage","Web,NL","batirama::web::728x90floorad-300x600-300x250mobile,batirama::nl"
BATIWEB,batiweb,Bâtiment - Artisanat,Professionnels du bâtiment et des travaux publics,"Web,NL","batiweb::web::1000x90-300x250,batiweb::nl"
BE A BOSS,be-a-boss,Dirigeants de TPE/PME,Directions générales de PME,"Print,Web,NL","be-a-boss::print,be-a-boss::web::1000x90-300x600-300x250mobile,be-a-boss::nl"
BEAUTY FORUM,beauty-forum,Esthétique,Professionnels de la beauté,Print,beauty-forum::print
BETTERAVIER FRANÇAIS,betteravier-fran-ais,Culture,Agriculteurs de la filière betterave-sucre,Print,betteravier-fran-ais::print
BIBLOND,biblond,Coiffure,Professionnels de la coiffure,"Print,Web,NL","biblond::print,biblond::web::728x90,biblond::web::300x600-300x250mobile,biblond::nl"
BIOFIL,biofil,Agriculture,Agriculteurs bios,Print,biofil::print
BIOLOGISTE INFOS,biologiste-infos,Biologistes,"Laboratoires d'analyse, biologistes et prescripteurs.",Print,biologiste-infos::print
BOIS +,bois,Industrie : technologie,Bricoleurs désireux de se lancer dans la fabrication de mobilier et objets,Print,bois::print
BOIS MAG,bois-mag,Industrie : technologie,"Décideurs et professionnels de la filière du bois : constructions sèches, artisans, cadres et ingénieurs, négoce et distribution, exploitants forestiers, techniciens du bâtiment",Print,bois-mag::print
Tendance restauration,tendance-restauration,Hôtellerie-Restauration,"C.H.R. de plus de 3 salariés (restaurants, hôtels, brasseries, bars à vins, bistrots, restaurants à thème indépendants et de chaîne) ; bars de nuit, bars à ambiance musicale et discothèques.",Print,tendances-restauration::print
BTP MAGAZINE,btp-magazine,Bâtiment - Artisanat,"Constructeurs, entreprises de bâtiment, travaux publics, loueurs, distributeurs de matériels, entreprises travaux EDF, GDF, PTT, génie civil, carrières, D.D.E., démolisseurs, maîtres d' œuvre et maîtres d'ouvrage.",Print,btp-magazine::print
C'EST A VOUS!,c-est-a-vous,Dirigeants de TPE/PME,Entreprises adhérentes du MEDEF,Print,c-est-a-vous::print
CAD MAGAZINE,cad-magazine,Robotique,"Cadres des bureaux d'études des secteurs mécanique générale, auto, aérospatial, transport (ingénieurs, techniciens, designers, directeurs, chefs de services, chefs de projets)",Print,cad-magazine::print
CADUCEE,caducee,Médecins Généralistes,Médecins généralistes et spécialistes,"Web,NL","caducee::web::728x90floorad-300x600-300x250mobile,caducee::nl"
CAHIERS DE NUTRITION ET DE DIETETIQUE,cahiers-de-nutrition-et-de-dietetique,Nutrition,Nutritionnistes et diététiciens,Print,cahiers-de-nutrition-et-de-dietetique::print
CAHIERS DU TOURISME ET DU FLEURISSEMENT,cahiers-du-tourisme-et-du-fleurissement,Collectivités locales,"Collectivités (villes et villages fleuris, services espaces verts)",Print,cahiers-du-tourisme-et-du-fleurissement::print
CAPS INFOS,caps-infos,Alimentation,"Patrons de commerces spécialisés fruits et légumes, alimentations générales, épiceries fines, franchisés, grandes surfaces frais, chambres du commerce, collectivités locales",Print,caps-infos::print
CARDIOLOGIE PRATIQUE,cardiologie-pratique,Cardiologie,Cardiologues,Print,cardiologie-pratique::print
CARRIERES JURIDIQUES,carrieres-juridiques,Professionnels du droit,"Site dédié à l'emploi, la communication, la formation et l'actualité juridique",Web,carrieres-juridiques::web::728x90-300x600
CARROSSERIE,carrosserie,Garagistes,"57% carrossiers, 19% transporteurs, 19% concessionnaires de marques, 5% carrossiers industriels.",Print,carrosserie::print
CAVISTES ET E-COMMERCE,cavistes-et-e-commerce,Alimentation,"Revendeurs de vins, champagne et spiritueux (cavistes, épiceries fines, vépécistes, sites e-commerce)",Print,cavistes-et-e-commerce::print
CB NEWS,cb-news,"Communication, Publicité","Annonceurs, agences de communication, agences de publicités, agences médias, régies publicitaires, médias",Print,cb-news::print
CEM (CONTROLES ESSAIS MESURES),cem-controles-essais-mesures,Industrie : technologie,"Professionnels de la métrologie, des essais non destructifs, de la tomographie, de l'optique-photonique et de l'instrumentation",Print,cem-controles-essais-mesures::print
CENTRES AQUATIQUES,centres-aquatiques,Collectivités locales,Collectivités (piscines publiques),Print,centres-aquatiques::print
CERVEAU & PSYCHO,cerveau-psycho,Psychologues,"Psychologues, orthophonistes",Print,cerveau-psycho::print
CHALLENGES,challenges,Dirigeants de TPE/PME,"Chefs d'entreprise, top managers, décideurs en entreprise",Web,challenges::web::1000x90-300x600-300x250mobile
CHANTIERS DE FRANCE,chantiers-de-france,Travaux publics,"Entreprises B.T.P. (terrassement, génie civil, carrières), directions de l'équipement, conseil généraux, services techniques des villes, constructeurs de matériels, concessionnaires de matériels pour le BTP",Print,chantiers-de-france::print
