variant_slug,support,support_slug,Canal,periodicite_print,diffusion_print,format_print,Visites par mois Web,Pages vues par mois Web,Nombre d'envois NL,tarif_brut,tarif_net
acehf-magazine::print,ACEHF MAGAZINE,acehf-magazine,Print,Semestriel,6000,210 x 297,,,,4800,3264
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,actes-pratiques-et-ingenierie-immobiliere,Print,Trimestriel,500,210 x 297,,,,1600,1088
actes-pratiques-et-strategie-patrimoniale::print,ACTES PRATIQUES ET STRATEGIE PATRIMONIALE,actes-pratiques-et-strategie-patrimoniale,Print,4 Numéros / an,1400,210 x 297,,,,1600,1088
acteurs-publics::print,ACTEURS PUBLICS,acteurs-publics,Print,Bimestriel,15000,230 x 300,,,,7800,5304
action-co::print,ACTION CO,action-co,Print,Trimestriel,15000,210 x 280,,,,7000,4760
actu-environnement::print,ACTU ENVIRONNEMENT,actu-environnement,Print,Mensuel,12500,210 x 270,,,,2190,1489.2
actualites-habitat::print,ACTUALITES HABITAT,actualites-habitat,Print,Bimensuel,9000,210 x 275,,,,2520,1713.6
administration-et-intendance::print,ADMINISTRATION ET INTENDANCE,administration-et-intendance,Print,Trimestriel,11000,210 x 280,,,,2400,pas de tarif
agefi-actifs::print,AGEFI ACTIFS,agefi-actifs,Print,Mensuel,13000,190 x 270,,,,12800,8704
agefi-alpha::print,AGEFI ALPHA,agefi-alpha,Print,Mensuel,10800,190 x 270,,,,12800,8704
agenceur-magazine::print,AGENCEUR MAGAZINE,agenceur-magazine,Print,Bimestriel,20000,210 x 297,,,,11276,7667.68
alternatives-economiques::print,ALTERNATIVES ECONOMIQUES,alternatives-economiques,Print,Mensuel,48584,200 x 280,,,,14700,9996
andrh::print,ANDRH,andrh,Print,Bimestriel,5000,190 x 270,,,,4400,2992
annales-de-biologie-clinique::print,ANNALES DE BIOLOGIE CLINIQUE,annales-de-biologie-clinique,Print,Bimestriel,2800,210 x 270,,,,2800,1904
architecture-a-vivre::print,ARCHITECTURE A VIVRE,architecture-a-vivre,Print,Bimestriel,42500,212 x 277,,,,7500,5100
artisans-bois::print,ARTISANS & BOIS,artisans-bois,Print,Bimestriel,30000,210 x 297,,,,13682,9303.76
arts-metiers-mag::print,ARTS&METIERS MAG,arts-metiers-mag,Print,Mensuel,7293,220 x 280,,,,6000,4080
au-coeur-du-chr::print,AU COEUR DU CHR,au-coeur-du-chr,Print,Bimestriel,35000,210 x 270,,,,6710,4562.8
audio-infos::print,AUDIO INFOS,audio-infos,Print,Mensuel,2500,210 x 297,,,,5400,3672
audiologie-demain::print,AUDIOLOGIE DEMAIN,audiologie-demain,Print,9 Numéros / an,6000,220 x 285,,,,3500,2380
audiology-france::print,AUDIOLOGY FRANCE,audiology-france,Print,4 Numéros / an,3000,210 x 297,,,,5100,3468
