variant_slug,support,canal,type,date,periodicite,specs_techniques,notes
acteurs-publics::print,ACTEURS PUBLICS,Print,Bouclage,27/02/2026,Bimestriel,,
acteurs-publics::print,ACTEURS PUBLICS,Print,Parution,28/02/2026,Bimestriel,,
acteurs-publics::print,ACTEURS PUBLICS,Print,Bouclage,01/03/2026,Bimestriel,,
acteurs-publics::print,ACTEURS PUBLICS,Print,Parution,02/03/2026,Bimestriel,,
acteurs-publics::print,ACTEURS PUBLICS,Print,Bouclage,03/03/2026,Bimestriel,,
acteurs-publics::print,ACTEURS PUBLICS,Print,Parution,04/03/2026,Bimestriel,,
acteurs-publics::print,ACTEURS PUBLICS,Print,Bouclage,05/03/2026,Bimestriel,,
acteurs-publics::print,ACTEURS PUBLICS,Print,Parution,06/03/2026,Bimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Bouclage,24/02/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Parution,17/03/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Bouclage,03/06/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Parution,24/06/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Bouclage,25/08/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Parution,15/09/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Bouclage,29/10/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Parution,19/11/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Bouclage,06/03/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Parution,27/03/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Bouclage,05/05/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Parution,26/05/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Bouclage,01/07/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Parution,22/07/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Bouclage,01/09/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Parution,22/09/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Bouclage,29/10/2025,Trimestriel,,
actes-pratiques-et-ingenierie-immobiliere::print,ACTES PRATIQUES ET INGENIERIE IMMOBILIERE,Print,Parution,19/11/2025,Trimestriel,,
actualites-habitat::print,ACTUALITES HABITAT,Print,Bouclage,14/01/2026,Bimensuel,,
actualites-habitat::print,ACTUALITES HABITAT,Print,Parution,13/02/2026,Bimensuel,,
actualites-habitat::print,ACTUALITES HABITAT,Print,Bouclage,29/01/2026,Bimensuel,,
actualites-habitat::print,ACTUALITES HABITAT,Print,Parution,29/02/26,Bimensuel,,
actualites-habitat::print,ACTUALITES HABITAT,Print,Bouclage,11/02/2026,Bimensuel,,
actualites-habitat::print,ACTUALITES HABITAT,Print,Parution,13/03/2026,Bimensuel,,
actualites-habitat::print,ACTUALITES HABITAT,Print,Bouclage,28/02/2026,Bimensuel,,
actualites-habitat::print,ACTUALITES HABITAT,Print,Parution,30/03/2026,Bimensuel,,
actualites-habitat::print,ACTUALITES HABITAT,Print,Bouclage,16/03/2026,Bimensuel,,
actualites-habitat::print,ACTUALITES HABITAT,Print,Parution,15/04/2026,Bimensuel,,
actualites-habitat::print,ACTUALITES HABITAT,Print,Bouclage,31/03/2026,Bimensuel,,
actualites-habitat::print,ACTUALITES HABITAT,Print,Parution,30/04/2026,Bimensuel,,
